event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time
S4 2022 London,male,GBR,35-39,open,01:09:39,00:28:31,00:05:05,00:36:03
S4 2022 London,male,GBR,30-34,open,01:09:51,00:28:53,00:06:05,00:34:53
S4 2022 London,male,GBR,35-39,open,01:09:58,00:31:49,00:04:28,00:33:41
S4 2022 London,male,GBR,40-44,open,01:10:02,00:29:42,00:06:20,00:34:00
S4 2022 London,male,GBR,25-29,open,01:10:11,00:26:09,00:05:01,00:39:01
S4 2022 London,male,GBR,16-24,open,01:10:15,00:27:37,00:05:47,00:36:51
S4 2022 London,male,GBR,40-44,open,01:10:37,00:30:51,00:05:18,00:34:28
S4 2022 London,male,GBR,35-39,open,01:10:44,00:30:31,00:05:15,00:34:58
S4 2022 London,male,GBR,30-34,open,01:11:09,00:26:18,00:06:17,00:38:34
S4 2022 London,male,GBR,35-39,open,01:11:10,00:27:24,00:06:03,00:37:43
S4 2022 London,male,GBR,25-29,open,01:11:17,00:31:21,00:05:11,00:34:45
S4 2022 London,male,GBR,30-34,open,01:11:19,00:27:46,00:06:04,00:37:29
S4 2022 London,male,GBR,25-29,open,01:11:34,00:31:06,00:05:47,00:34:41
S4 2022 London,male,GBR,35-39,open,01:11:34,00:31:03,00:06:02,00:34:29
S4 2022 London,male,GBR,35-39,open,01:11:35,00:29:15,00:05:04,00:37:16
S4 2022 London,male,GBR,30-34,open,01:11:42,00:30:06,00:05:36,00:36:00
S4 2022 London,male,SUI,35-39,open,01:11:43,00:29:09,00:05:23,00:37:11
S4 2022 London,male,GBR,40-44,open,01:11:44,00:28:16,00:05:20,00:38:08
S4 2022 London,male,GBR,35-39,open,01:12:00,00:29:00,00:06:03,00:36:57
S4 2022 London,male,GBR,30-34,open,01:12:13,00:27:43,00:05:46,00:38:44
S4 2022 London,male,GBR,45-49,open,01:12:40,00:28:46,00:06:03,00:37:51
S4 2022 London,male,GBR,35-39,open,01:12:41,00:28:48,00:06:03,00:37:50
S4 2022 London,male,GBR,35-39,open,01:12:47,00:31:48,00:05:27,00:35:32
S4 2022 London,male,GBR,50-54,open,01:12:51,00:30:36,00:05:03,00:37:12
S4 2022 London,male,GBR,16-24,open,01:13:01,00:27:26,00:05:32,00:40:03
S4 2022 London,male,GBR,35-39,open,01:13:02,00:31:28,00:05:07,00:36:27
S4 2022 London,male,GBR,30-34,open,01:13:04,00:30:32,00:05:20,00:37:12
S4 2022 London,male,GBR,30-34,open,01:13:12,00:31:29,00:05:36,00:36:07
S4 2022 London,male,GBR,40-44,open,01:13:15,00:29:14,00:06:40,00:37:21
S4 2022 London,male,GBR,35-39,open,01:13:17,00:29:39,00:05:57,00:37:41
S4 2022 London,male,GBR,16-24,open,01:13:34,00:32:21,00:05:07,00:36:06
S4 2022 London,male,GBR,35-39,open,01:13:41,00:31:14,00:05:37,00:36:50
S4 2022 London,male,GBR,50-54,open,01:13:47,00:33:22,00:05:36,00:34:49
S4 2022 London,male,GBR,25-29,open,01:13:48,00:28:34,00:05:34,00:39:40
S4 2022 London,male,GBR,40-44,open,01:13:51,00:28:37,00:06:05,00:39:09
S4 2022 London,male,GBR,30-34,open,01:14:19,00:31:23,00:05:24,00:37:32
S4 2022 London,male,GBR,35-39,open,01:14:26,00:29:38,00:05:54,00:38:54
S4 2022 London,male,GBR,35-39,open,01:14:30,00:30:02,00:06:05,00:38:23
S4 2022 London,male,GBR,30-34,open,01:14:32,00:26:48,00:05:53,00:41:51
S4 2022 London,male,GBR,35-39,open,01:14:34,00:32:14,00:05:38,00:36:42
S4 2022 London,male,GBR,35-39,open,01:14:47,00:29:46,00:06:16,00:38:45
S4 2022 London,male,GBR,30-34,open,01:15:01,00:30:47,00:05:32,00:38:42
S4 2022 London,male,GBR,25-29,open,01:15:07,00:28:34,00:08:00,00:38:33
S4 2022 London,male,GBR,35-39,open,01:15:13,00:32:53,00:05:28,00:36:52
S4 2022 London,male,GBR,30-34,open,01:15:20,00:30:39,00:06:04,00:38:37
S4 2022 London,male,GBR,40-44,open,01:15:25,00:29:28,00:05:49,00:40:08
S4 2022 London,male,GBR,16-24,open,01:15:34,00:30:43,00:06:01,00:38:50
S4 2022 London,male,GBR,25-29,open,01:15:39,00:33:20,00:06:41,00:35:38
S4 2022 London,male,GBR,30-34,open,01:15:41,00:29:34,00:06:34,00:39:33
S4 2022 London,male,GBR,30-34,open,01:15:46,00:28:11,00:07:02,00:40:33
S4 2022 London,male,GBR,35-39,open,01:15:50,00:33:21,00:05:24,00:37:05
S4 2022 London,male,GBR,35-39,open,01:15:58,00:31:41,00:05:49,00:38:28
S4 2022 London,male,GBR,45-49,open,01:16:07,00:31:13,00:05:21,00:39:33
S4 2022 London,male,GBR,25-29,open,01:16:20,00:29:00,00:05:32,00:41:48
S4 2022 London,male,GBR,40-44,open,01:16:23,00:29:48,00:06:10,00:40:25
S4 2022 London,male,GBR,35-39,open,01:16:24,00:29:52,00:06:15,00:40:17
S4 2022 London,male,GBR,35-39,open,01:16:35,00:32:12,00:05:37,00:38:46
S4 2022 London,male,GBR,35-39,open,01:16:44,00:29:54,00:06:42,00:40:08
S4 2022 London,male,GBR,30-34,open,01:16:46,00:31:00,00:05:56,00:39:50
S4 2022 London,male,GBR,35-39,open,01:16:51,00:31:17,00:06:14,00:39:20
S4 2022 London,male,GBR,45-49,open,01:17:09,00:28:05,00:07:10,00:41:54
S4 2022 London,male,GBR,16-24,open,01:17:13,00:31:59,00:05:38,00:39:36
S4 2022 London,male,GBR,16-24,open,01:17:18,00:31:45,00:06:13,00:39:20
S4 2022 London,male,GBR,55-59,open,01:17:26,00:31:11,00:06:39,00:39:36
S4 2022 London,male,GBR,40-44,open,01:17:29,00:32:07,00:06:44,00:38:38
S4 2022 London,male,GBR,16-24,open,01:17:30,00:32:50,00:07:53,00:36:47
S4 2022 London,male,GBR,50-54,open,01:17:37,00:34:37,00:05:40,00:37:20
S4 2022 London,male,GBR,30-34,open,01:17:40,00:30:46,00:05:31,00:41:23
S4 2022 London,male,GBR,30-34,open,01:17:46,00:30:43,00:06:21,00:40:42
S4 2022 London,male,GBR,35-39,open,01:17:49,00:31:00,00:06:49,00:40:00
S4 2022 London,male,GBR,40-44,open,01:17:50,00:33:20,00:05:12,00:39:18
S4 2022 London,male,GBR,35-39,open,01:17:55,00:29:15,00:08:02,00:40:38
S4 2022 London,male,GBR,30-34,open,01:18:09,00:35:42,00:05:38,00:36:49
S4 2022 London,male,GBR,35-39,open,01:18:11,00:29:57,00:05:36,00:42:38
S4 2022 London,male,GBR,30-34,open,01:18:17,00:35:41,00:05:17,00:37:19
S4 2022 London,male,GBR,30-34,open,01:18:19,00:33:17,00:07:40,00:37:22
S4 2022 London,male,GBR,25-29,open,01:14:29,00:25:33,00:06:00,00:42:56
S4 2022 London,male,GBR,35-39,open,01:13:17,00:29:39,00:05:57,00:37:41
S4 2022 London,male,GBR,16-24,open,01:13:28,00:34:05,00:04:45,00:34:38
S4 2022 London,male,GBR,45-49,open,01:13:38,00:28:23,00:06:03,00:39:12
S4 2022 London,male,GBR,50-54,open,01:13:47,00:33:22,00:05:36,00:34:49
S4 2022 London,male,GBR,35-39,open,01:13:47,00:31:47,00:05:39,00:36:21
S4 2022 London,male,GBR,40-44,open,01:13:48,00:32:14,00:05:41,00:35:53
S4 2022 London,male,GBR,35-39,open,01:14:15,00:27:33,00:04:39,00:42:03
S4 2022 London,male,GBR,30-34,open,01:14:20,00:29:52,00:06:10,00:38:18
S4 2022 London,male,GBR,45-49,open,01:14:29,00:29:13,00:05:50,00:39:26
S4 2022 London,male,GBR,30-34,open,01:14:32,00:30:05,00:07:02,00:37:25
S4 2022 London,male,GBR,30-34,open,01:14:33,00:28:36,00:06:19,00:39:38
S4 2022 London,male,GBR,40-44,open,01:14:38,00:31:03,00:05:30,00:38:05
S4 2022 London,male,GBR,30-34,open,01:14:55,00:30:27,00:05:39,00:38:49
S4 2022 London,male,GBR,40-44,open,01:15:02,00:27:45,00:06:17,00:41:00
S4 2022 London,male,GBR,55-59,open,01:15:06,00:34:24,00:06:44,00:33:58
S4 2022 London,male,GBR,25-29,open,01:15:11,00:30:50,00:05:38,00:38:43
S4 2022 London,male,GBR,30-34,open,01:15:13,00:30:29,00:05:47,00:38:57
S4 2022 London,male,GBR,35-39,open,01:15:21,00:30:00,00:07:25,00:37:56
S4 2022 London,male,GBR,25-29,open,01:15:29,00:27:07,00:06:33,00:41:49
S4 2022 London,male,GBR,35-39,open,01:15:39,00:30:17,00:05:56,00:39:26
S4 2022 London,male,GBR,25-29,open,01:15:39,00:33:20,00:06:41,00:35:38
S4 2022 London,male,GBR,16-24,open,01:15:43,00:27:04,00:05:05,00:43:34
S4 2022 London,male,GBR,16-24,open,01:15:47,00:30:03,00:06:31,00:39:13
S4 2022 London,male,GBR,35-39,open,01:15:50,00:33:21,00:05:24,00:37:05
S4 2022 London,male,GBR,25-29,open,01:16:06,00:30:31,00:06:05,00:39:30
S4 2022 London,male,GBR,40-44,open,01:16:11,00:29:07,00:06:47,00:40:17
S4 2022 London,male,GBR,25-29,open,01:16:22,00:31:04,00:06:32,00:38:46
S4 2022 London,male,GBR,35-39,open,01:16:24,00:29:52,00:06:15,00:40:17
S4 2022 London,male,GBR,25-29,open,01:16:26,00:31:20,00:05:35,00:39:31
S4 2022 London,male,GBR,35-39,open,01:16:35,00:32:12,00:05:37,00:38:46
S4 2022 London,male,GBR,35-39,open,01:16:44,00:31:42,00:06:10,00:38:52
S4 2022 London,male,GBR,30-34,open,01:16:47,00:32:22,00:06:39,00:37:46
S4 2022 London,male,GBR,25-29,open,01:17:08,00:32:54,00:06:52,00:37:22
S4 2022 London,male,GBR,35-39,open,01:17:14,00:33:02,00:06:26,00:37:46
S4 2022 London,male,GBR,55-59,open,01:17:26,00:31:11,00:06:39,00:39:36
S4 2022 London,male,POL,30-34,open,01:17:26,00:27:34,00:07:24,00:42:28
S4 2022 London,male,GBR,35-39,open,01:17:29,00:29:57,00:05:46,00:41:46
